"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"GEF","Greif Bros. Corporation","38.48","$2.28B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gef",
"GEF.B","Greif Bros. Corporation","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gef.b",
"GSUM","Gridsum Holding Inc.","2.02","$69.61M","2016","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/gsum",
"GRIF","Griffin Industrial Realty, Inc.","39.23","$199M","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/grif",
"GFF","Griffon Corporation","20.64","$965.96M","n/a","Capital Goods","Building Products","https://old.nasdaq.com/symbol/gff",
"GRFS","Grifols, S.A.","20.51","$14.03B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/grfs",
"GRIN","Grindrod Shipping Holdings Ltd.","5.49","$104.66M","n/a","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/grin",
"GRTS","Gritstone Oncology, Inc.","9.67","$345.93M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/grts",
"GO","Grocery Outlet Holding Corp.","38.08","$3.36B","2019","Consumer Services","Food Chains","https://old.nasdaq.com/symbol/go",
"GPI","Group 1 Automotive, Inc.","86.16","$1.6B","1997","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/gpi",
"GRPN","Groupon, Inc.","2.82","$1.6B","2011","Technology","Advertising","https://old.nasdaq.com/symbol/grpn",
"GRUB","GrubHub Inc.","59.77","$5.46B","2014","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/grub",
"OMAB","Grupo Aeroportuario del Centro Norte S.A.B. de C.V.","47.91","$2.36B","2006","Transportation","Aerospace","https://old.nasdaq.com/symbol/omab",
"PAC","Grupo Aeroportuario Del Pacifico, S.A. de C.V.","97.78","$5.49B","2006","Transportation","Aerospace","https://old.nasdaq.com/symbol/pac",
"ASR","Grupo Aeroportuario del Sureste, S.A. de C.V.","158.07","$4.74B","n/a","Transportation","Aerospace","https://old.nasdaq.com/symbol/asr",
"AVAL","Grupo Aval Acciones y Valores S.A.","7.55","$8.41B","2014","Finance","Commercial Banks","https://old.nasdaq.com/symbol/aval",
"GGAL","Grupo Financiero Galicia S.A.","11.9","$1.7B","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/ggal",
"SIM","Grupo Simec, S.A. de C.V.","9.36","$1.54B","1993","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/sim",
"SUPV","Grupo Supervielle S.A.","2.91","$265.81M","2016","Finance","Commercial Banks","https://old.nasdaq.com/symbol/supv",
"TV","Grupo Televisa S.A.","10.54","$6.09B","1993","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/tv",
"GSAH","GS Acquisition Holdings Corp.","10.28","$886.65M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/gsah",
"GSAH.U","GS Acquisition Holdings Corp.","n/a","n/a","2018","n/a","n/a","https://old.nasdaq.com/symbol/gsah.u",
"GSAH.WS","GS Acquisition Holdings Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gsah.ws",
"GVP","GSE Systems, Inc.","1.89","$37.99M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/gvp",
"GSIT","GSI Technology, Inc.","8.41","$192.66M","2007","Technology","Semiconductors","https://old.nasdaq.com/symbol/gsit",
